Sentence,Label
You give us permission to use your name and profile picture,1
" we don’t share information that directly identifies you (such as your name, email address or other contact information)",0
We don’t share information that directly identifies you (information such as your name or email address that by itself can be used to contact you or identifies who you are),0
we will reduce the data that an app can request without app review to include only name.,1
you provide us with personal information that includes your name and a password.,1
"For example, if your name appears in your local newspaper, Google’s Search engine may index that article and display it to other people if they search for your name. ",1
"We don’t share information that personally identifies you with advertisers, such as your name or email, unless you ask us to. ",0
"If other users already have your email address or other information that identifies you, we may show them your publicly visible Google Account information, such as your name and photo.",1
" through a booking service, we’ll get your permission before sharing your name or phone number with the restaurant. ",0
"If you have a Google Account, we may display your Profile name, Profile photo, and actions you take on Google ",1
"For example, you can choose your settings so your name and photo do not appear in an ad.",0
"We may collect data, including personal information...may include name, address, email address, phone number,",0
"If you choose to provide Cisco with a third party's personal information (such as name, email, and phone number), you represent that you have the third party's permission to do so. ",1
"we may require that you provide to us your contact information, such as your name,",0
"If you attend an event, we may with your further consent scan your attendee badge, which will provide to us your information, such as name, title, company name, ",1
"you may be required to register as a visitor and to provide your name, email address, phone number, company name ",0
"Profile information that you provide for your user profile (e.g., first and last name, picture, phone number). This information allows us to help you or others be ""found"" on Instagram.",1
If you choose to find your friends (iii) through a search of names or usernames on Instagram then simply type a name to search and we will perform a search on our Service.,1
"If we sell or otherwise transfer part or the whole of Instagram or our assets to another organization (e.g., in the course of a transaction like a merger, acquisition, bankruptcy, dissolution, liquidation), your information such as name and email address, User Content and any other information collected through the Service may be among the items sold or transferred.",1
"you may be asked to enter your name, email address, mailing address, credit card information or other details to help you with your experience.",1
"Identity Data includes first name, maiden name, last name, title, date of birth and gender.",1
"In addition, the User understands and agrees that ICICI Bank is required to share their personal information, such as name, email address and payment instrument details, with third parties for the purposes of processing transactions or for the use of the services to register their complaints.", 1
